cd_setor;nm_dist;qt_pessoas;area_km2;qt_crimes;tx_crimes_1000_hab;log_tx_crimes_1000_hab;indice_infraestrutura_urbana;indice_mobilidade_urbana;indice_caminhabilidade;indice_vulnerabilidade_urbana;log_renda_media;densidade_populacional
355030809000017;Bom Retiro;287;0.0363272;5;17.421602787456447;2.913524040475829;0.9974358974358974;0.0;0.841025641025641;0.03905325443786982;8.241792723685128;7900.416217049485
355030809000032;Bom Retiro;447;0.0375286;14;31.319910514541387;3.4756834649158126;0.9646464646464646;0.07954545454545454;0.6596565656565657;0.0178524374176548;7.882167738338408;11910.915941441994
355030809000086;Bom Retiro;440;0.0065526;0;0.0;0.0;0.8333333333333334;0.005405405405405406;0.6666666666666666;0.009230769230769232;8.829587876258392;67148.91798675335
355030810000055;Brás;150;0.0009888;43;286.6666666666667;5.661802402415319;;;;;;151699.0291262136
355030810000059;Brás;424;0.0178029;3;7.0754716981132075;2.088831282029675;0.8181818181818182;0.11538461538461539;0.7972027972027972;0.14825174825174825;7.423198226483291;23816.344528138674
355030810000086;Brás;242;0.0020765;0;0.0;0.0;0.6666666666666666;0.0;0.6666666666666666;0.21607142857142855;7.931500332970695;116542.25860823502
355030810000119;Brás;150;0.0024541;0;0.0;0.0;1.0;0.0;1.0;0.018421052631578946;8.43211884625945;61122.203659182596
355030810000137;Brás;117;0.0034178;0;0.0;0.0;1.0;0.0;1.0;0.03333333333333333;8.638537876861175;34232.54725261864
355030810000139;Brás;121;0.0034323;0;0.0;0.0;1.0;0.0;1.0;0.016666666666666666;8.42117776298255;35253.328671736155
355030811000019;Brasilândia;400;0.0191231;5;12.5;2.6026896854443837;0.8143939393939394;0.24621212121212122;0.3333333333333333;0.04597701149425287;7.739202464241707;20917.110719496315
355030811000065;Brasilândia;479;0.05879;11;22.964509394572026;3.1765739606545815;0.723196881091618;0.06432748538011696;0.3645224171539961;0.11673976608187134;7.713605949455167;8147.644157169587
355030811000070;Brasilândia;582;0.0457599;10;17.182130584192443;2.9004392757326394;0.6243686868686869;0.03598484848484849;0.38632386860733314;0.2323919523099851;7.889631483748563;12718.5592625858
355030811000080;Brasilândia;268;0.0058409;5;18.656716417910445;2.978419082352315;0.59375;0.390625;0.2604166666666667;0.09539473684210527;7.091001408227227;45883.339896248865
355030811000132;Brasilândia;590;0.0203718;5;8.474576271186441;2.24861202924938;0.8065217391304348;0.0;0.3318840579710145;0.0213469735720375;7.450434158096431;28961.60378562523
